,tx_hash,index,type,raw_amount,dollar_value,token_contract_address,token_name,token_dollar_value,from,to,sender,timestamp
35,0x4589dc3b7be6df22ed3657b3310bfff117329a0a7e68ded05daecac2899e5921,4,Burn,2784479188759737380,8957.781038176343852,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,3217.0400390625,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,None,0x4e6b065262e3504f2511ef5b8cadc039630803be,1709719115
36,0x4589dc3b7be6df22ed3657b3310bfff117329a0a7e68ded05daecac2899e5921,4,Transfer,2784479188759737380,8965.326868009164429,None,Ethereum,3219.75,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0x4e6b065262e3504f2511ef5b8cadc039630803be,1709719115
37,0x4589dc3b7be6df22ed3657b3310bfff117329a0a7e68ded05daecac2899e5921,4,Transfer,2784479188759737380,8965.326868009164429,None,Ethereum,3219.75,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0x4e6b065262e3504f2511ef5b8cadc039630803be,0x4e6b065262e3504f2511ef5b8cadc039630803be,1709719115
38,0x153a70478d17e082740c30f9d5d20fbca5d298c34cc4581e2eecb6163213eebc,0,Mint,300000000000000000,965.11201171875000004,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,3217.0400390625,None,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xdd3d41d3817abe28519f4f5c0890e9c0f0cfe69b,1709719163
39,0x153a70478d17e082740c30f9d5d20fbca5d298c34cc4581e2eecb6163213eebc,0,Transfer,300000000000000000,965.11201171875000004,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,3217.0400390625,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x64e15218e70e6108c9ae5b5dc6c8b740898676bb,0xdd3d41d3817abe28519f4f5c0890e9c0f0cfe69b,1709719163
40,0x153a70478d17e082740c30f9d5d20fbca5d298c34cc4581e2eecb6163213eebc,0,Transfer,9572448537590007,,0xf83a3233e78c7e1c6bdd0a5fea0b1f00c00e7623,None,None,0x64e15218e70e6108c9ae5b5dc6c8b740898676bb,0xdd3d41d3817abe28519f4f5c0890e9c0f0cfe69b,0xdd3d41d3817abe28519f4f5c0890e9c0f0cfe69b,1709719163
41,0x153a70478d17e082740c30f9d5d20fbca5d298c34cc4581e2eecb6163213eebc,0,Transfer,300000000000000000,965.92500000000000004,None,Ethereum,3219.75,0xdd3d41d3817abe28519f4f5c0890e9c0f0cfe69b,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xdd3d41d3817abe28519f4f5c0890e9c0f0cfe69b,1709719163
42,0x153a70478d17e082740c30f9d5d20fbca5d298c34cc4581e2eecb6163213eebc,0,Transfer,300000000000000000,965.92500000000000004,None,Ethereum,3219.75,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xdd3d41d3817abe28519f4f5c0890e9c0f0cfe69b,1709719163
43,0x153a70478d17e082740c30f9d5d20fbca5d298c34cc4581e2eecb6163213eebc,1,Mint,300000000000000000,965.11201171875000004,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,3217.0400390625,None,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xdd3d41d3817abe28519f4f5c0890e9c0f0cfe69b,1709719163
44,0x153a70478d17e082740c30f9d5d20fbca5d298c34cc4581e2eecb6163213eebc,1,Transfer,300000000000000000,965.11201171875000004,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,3217.0400390625,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x64e15218e70e6108c9ae5b5dc6c8b740898676bb,0xdd3d41d3817abe28519f4f5c0890e9c0f0cfe69b,1709719163
