,tx_hash,sender,delta_eth,delta_dollar,token_name_A,token_contract_address_A,delta_token_A,token_name_B,token_contract_address_B,delta_token_B
24,0x2e082d7852ee9db71b5d187fea3a6008a15f4e110e867bcb9b5016bfa4bc0aa3,0xc3e2fa491f1f2a36407f5ef3561b4bbc7851ef80,-0.0833839572782486,-268.2495291796027,Ethereum,Ethereum,-0.08331377565947751,enqAI,0x710287d1d39dcf62094a83ebb3e736e79400068a,
25,0x303685b29474481d36c9f2db64db1c891deaba59d9e523480c58d6cbdbe47cc8,0xe42b0fe568e7eb591bdf50351fe06b40230b6eba,-0.029150446506097032,-93.77815356666372,BananaCat,0x0590cc9232ebf68d81f6707a119898219342ecb9,-22413373889079.0,Ethereum,Ethereum,-0.02912591150451548
26,0x3176431997f0e7b627ce63b3b2aec527ad9feef74ea15ad3cec9f9e058faa0ac,0xe42b0fe568e7eb591bdf50351fe06b40230b6eba,-0.301722695904584,-970.6539934189257,Ethereum,Ethereum,-0.3014687455295988,Mog Coin,0xaaee1a9723aadb7afa2810263653a34ba2c21c7a,
27,0x32ada7102b69d5dbd3e95d18262d0c1121f4d9176d75ab888aa29307403fc49f,0x1518c211f611114decd1842894e08b803afcd27b,-0.03504111838365711,-112.72868085375394,Ethereum,Ethereum,-0.035011625391335954,Mog Coin,0xaaee1a9723aadb7afa2810263653a34ba2c21c7a,
28,0x352af1bbfdcaf196c1f2e5cb441d368f2cf68d94c3943d78ef550d7b60d5a4a9,0x865911efdfe06756914d59882d4f681295a53205,-0.015644346924530667,-50.32849044119944,DeRace,0x9fa69536d1cda4a04cfb50688294de75b505a9ae,758942531584.0,Ethereum,Ethereum,-0.015631179576426568
30,0x379c4ce641268fbd9484fb19a09f141430eae3005d5ef0cc1163573c0ec2d50e,0xe6c322ccdba2ae6b91aaa14b8fe9160235bd5fb4,-0.022814727460888994,-73.39589172197861,Doggensnout Skeptic,0x21e5c85a5b1f38bddde68307af77e38f747cd530,,zkHive,0x750c3a0a0ce9984eeb8c5d146dff024b584e5e33,-5.265015205729403e+20
31,0x3ee1ff110bcf31413f7e20a3aa58a22c96dcb78f37a072845d414c87a77797d7,0x0c6fee9443f2d30928e6389f63cb3e05d5e21613,-0.8746353259003837,-2813.736863000013,HarryPotterObamaSonic10Inu (ETH),0x72e4f9f808c49a2a61de9c5896298920dc4eeea9,,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,-2813.736863000013
33,0x4010103b5b88489992176b61fe61d68e62bb259b0aefa3aa60d93f82b7f7206a,0xa69db1db6585972d0366be55bc3e2b03203e32db,-0.04346705799123987,-139.83526593807028,GEKKO,0xf017d3690346eb8234b85f74cee5e15821fee1f4,-1.9511320573801396e+25,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,-139.8362411201393
34,0x428cb3781d072c726eaaab73d75399af6f28ac0c3ffb79b4ebcd8b1d0575a667,0x0851af9c23a8a8e2b0b2e80e51ecc7cac741965c,-0.5110354423528106,-1644.021479429008,Ethereum,Ethereum,-0.5106053201115018,Ribbon Finance,0x6123b0049f904d730db3c36a31167d9d4121fa6b,-1.4018244319160513e+21
35,0x438891bf879a982e872c0fe54170a4226f8ad3b5f7d32582eda2c1b3e25b2f12,0xa69db1db6585972d0366be55bc3e2b03203e32db,-0.04242114261120042,-136.47051428301208,GEKKO,0xf017d3690346eb8234b85f74cee5e15821fee1f4,,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,-136.4714660000027
